line_no,step_global,task_id,split,outcome,score,n_assistant_turns,n_user_turns,n_python_fences,traj_chars,keys_ok,generate_s,playbook_bullets,playbook_tokens
0,0,50e1ac9_1,dev,success,1.0,45,49,48,51707,True,29.688171088695526,6,540
1,1,50e1ac9_2,dev,success,1.0,49,53,52,49364,True,28.302377089858055,9,722
2,2,50e1ac9_3,dev,success,1.0,47,51,50,40598,True,20.579050049185753,10,777
3,3,fac291d_1,dev,success,1.0,45,49,48,38896,True,17.350324913859367,11,854
4,4,fac291d_2,dev,success,1.0,45,49,48,39102,True,16.047423370182514,12,919
5,5,fac291d_3,dev,success,1.0,46,50,49,40628,True,19.219369545578957,15,1077
6,6,530b157_1,dev,success,1.0,57,61,60,84837,True,37.069272212684155,19,1519
7,7,530b157_2,dev,success,1.0,58,62,61,90780,True,39.79437278211117,20,1641
8,8,530b157_3,dev,success,1.0,55,59,58,73078,True,33.027592077851295,22,1814
9,9,4ec8de5_1,dev,success,1.0,46,50,49,57653,True,26.358503602445126,23,1901
10,10,4ec8de5_2,dev,success,1.0,44,48,47,58980,True,17.4144194945693,24,1988
11,11,4ec8de5_3,dev,failure,0.5,44,48,47,56509,True,20.254031151533127,25,2105
12,12,b119b1f_1,dev,success,1.0,47,51,50,53273,True,20.989966973662376,29,2451
13,13,b119b1f_2,dev,success,1.0,45,49,48,56629,True,24.423995554447174,30,2539
14,14,b119b1f_3,dev,success,1.0,45,49,48,56274,True,21.33698872476816,31,2652
15,15,d4e9306_1,dev,success,1.0,45,49,48,61698,True,20.004284232854843,33,2909
16,16,d4e9306_2,dev,success,1.0,43,47,46,52063,True,19.601741902530193,34,3008
17,17,d4e9306_3,dev,success,1.0,42,46,45,52986,True,22.995686151087284,35,3085
18,18,0d8a4ee_1,dev,success,1.0,52,56,55,77180,True,38.10986517369747,38,3328
19,19,0d8a4ee_2,dev,success,1.0,47,51,50,88234,True,26.116535797715187,42,3793
20,20,0d8a4ee_3,dev,success,1.0,46,50,49,80147,True,25.780224591493607,43,3878
21,21,37a8675_1,dev,success,1.0,47,51,50,105975,True,27.556278452277184,45,4114
22,22,37a8675_2,dev,failure,0.16666666666666666,51,55,54,95876,True,30.352169819176197,46,4225
23,23,37a8675_3,dev,success,1.0,59,63,62,104796,True,43.58610837906599,47,4338
24,24,3ab5b8b_1,dev,success,1.0,46,50,49,71837,True,26.457878306508064,50,4627
25,25,3ab5b8b_2,dev,failure,0.6666666666666666,50,54,53,76735,True,28.08458235859871,51,4724
26,26,3ab5b8b_3,dev,success,1.0,48,52,51,70448,True,36.10710418224335,55,5194
27,27,df61dc5_1,dev,failure,0.8571428571428571,58,62,61,92874,True,41.60422810167074,58,5454
28,28,df61dc5_2,dev,failure,0.8571428571428571,44,48,47,80700,True,19.38388878107071,60,5665
29,29,df61dc5_3,dev,failure,0.8571428571428571,49,53,52,100906,True,30.105557970702648,63,6150
30,30,383cbac_1,dev,success,1.0,47,51,50,86763,True,35.01553642004728,65,6406
31,31,383cbac_2,dev,success,1.0,49,53,52,84022,True,22.825289092957973,66,6508
32,32,383cbac_3,dev,failure,0.5,46,50,49,69134,True,46.875653833150864,69,7142
33,33,23cf851_1,dev,success,1.0,46,50,49,72924,True,21.956988617777824,72,7666
34,34,23cf851_2,dev,failure,0.5,43,47,46,76738,True,13.927234224975109,73,7775
35,35,23cf851_3,dev,success,1.0,43,47,46,68808,True,13.884589731693268,74,7880
36,36,57c3486_1,dev,success,1.0,52,56,55,84095,True,34.87438954412937,78,8367
37,37,57c3486_2,dev,success,1.0,45,49,48,77883,True,29.936503380537033,82,9094
38,38,57c3486_3,dev,success,1.0,44,48,47,79242,True,23.811527907848358,83,9258
39,39,68ee2c9_1,dev,success,1.0,49,53,52,91166,True,36.16557874530554,88,10077
40,40,68ee2c9_2,dev,success,1.0,43,47,46,87027,True,24.971262894570827,89,10198
41,41,68ee2c9_3,dev,success,1.0,45,49,48,87296,True,25.521149896085262,90,10303
42,42,6bdbc26_1,dev,success,1.0,41,45,44,74604,True,9.497898139059544,91,10439
43,43,6bdbc26_2,dev,success,1.0,42,46,45,75757,True,10.352267652750015,91,10439
44,44,6bdbc26_3,dev,success,1.0,42,46,45,84366,True,10.073046118021011,91,10439
45,45,6171bbc_1,dev,success,1.0,47,51,50,94274,True,24.494593061506748,93,11038
46,46,6171bbc_2,dev,success,1.0,45,49,48,85058,True,27.96249932050705,94,11166
47,47,6171bbc_3,dev,success,1.0,45,49,48,86899,True,23.542944997549057,97,11474
48,48,6c2c621_1,dev,success,1.0,48,52,51,96624,True,26.249862976372242,98,11615
49,49,6c2c621_2,dev,success,1.0,46,50,49,89967,True,26.01800649613142,100,11962
50,50,6c2c621_3,dev,success,1.0,47,51,50,94125,True,31.89684196561575,102,12219
51,51,396c5a2_1,dev,success,1.0,44,48,47,99156,True,22.98783937841654,106,12979
52,52,396c5a2_2,dev,success,1.0,43,47,46,94149,True,23.419943191111088,107,13117
53,53,396c5a2_3,dev,success,1.0,42,46,45,94895,True,21.722934998571873,108,13228
54,54,4fab96f_1,dev,success,1.0,48,52,51,110738,True,25.96040115505457,112,14080
55,55,4fab96f_2,dev,success,1.0,44,48,47,119976,True,22.957788601517677,115,14363
56,56,4fab96f_3,dev,success,1.0,44,48,47,98880,True,23.18599943816662,117,14560
